"","method","NB_10","NB_20","NB_40","ZINB_10","ZINB_20","ZINB_40"
"1","limma_voom_TMM (limma_voom_TMM)","0.06 (0.02)","0.08 (0.03)","0.1 (0.04)","0.04 (0.01)","0.06 (0.01)","0.08 (0.01)"
"2","edgeR_TMM_standard (edgeR_TMM_standard)","0.22 (0.07)","0.35 (0.11)","0.51 (0.09)","0.19 (0.04)","0.3 (0.06)","0.49 (0.06)"
"3","edgeR_poscounts_standard (edgeR_poscounts_standard)","0.36 (0.11)","0.5 (0.15)","0.65 (0.13)","0.31 (0.07)","0.43 (0.1)","0.62 (0.07)"
"4","mgsZig_CSS (mgsZig_CSS)","2.18 (0.59)","2.2 (0.57)","1.92 (0.31)","1.9 (0.46)","2.04 (0.44)","2.11 (0.6)"
"5","seurat_wilcoxon (seurat_wilcoxon)","3.65 (0.78)","3.69 (0.76)","3.3 (0.5)","3.43 (0.86)","3.45 (0.88)","3.32 (0.42)"
"6","DESeq2_TMM (DESeq2_TMM)","1.72 (0.48)","2.23 (0.54)","3.06 (0.63)","2.93 (1.52)","4.27 (2.1)","6.07 (2.05)"
"7","DESeq2_poscounts (DESeq2_poscounts)","1.9 (0.53)","2.37 (0.6)","3.25 (2.74)","3.1 (1.57)","4.49 (2.22)","6.28 (2.11)"
"8","MAST (MAST)","8.08 (4.6)","7.89 (4.31)","5.19 (1.69)","4.19 (3.14)","4.76 (2.81)","4.33 (0.97)"
"9","edgeR_TMM_robustDisp (edgeR_TMM_robustDisp)","3.51 (0.91)","5.21 (1.24)","7.33 (3.06)","3.68 (1.9)","6.02 (1.37)","9.61 (0.98)"
"10","limma_voom_TMM_zinbwave (limma_voom_TMM_zinbwave)","5.08 (1.74)","14.46 (13.19)","16.27 (11.7)","7.42 (4.12)","12.84 (5.65)","24.43 (10.85)"
"11","edgeR_TMM_zinbwave (edgeR_TMM_zinbwave)","5.22 (1.76)","14.71 (13.22)","16.68 (11.75)","7.55 (4.13)","13.07 (5.66)","24.84 (10.86)"
"12","corncob_LRT (corncob_LRT)","19.3 (4.96)","22.46 (4.51)","24.18 (2.62)","12.53 (3.83)","17.08 (3.32)","21.98 (2.07)"
"13","ALDEx2 (ALDEx2)","16.58 (3.94)","20.91 (4.89)","25.21 (3.91)","12.5 (3.17)","17.01 (3.37)","23.97 (2.51)"
"14","corncob_wald (corncob_wald)","19.71 (5.06)","23.16 (4.72)","24.84 (2.94)","12.86 (3.88)","17.58 (3.5)","22.59 (2.13)"
"15","DESeq2_poscounts_zinbwave (DESeq2_poscounts_zinbwave)","7.06 (2.05)","17.05 (13.46)","20.1 (12.17)","12.15 (6.87)","19.92 (9.63)","34.07 (11.97)"
"16","scde (scde)","61.07 (22.02)","128.39 (57.28)","226.17 (102.25)","46.7 (10.68)","114.7 (21.66)","253.12 (43.85)"
